자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-56223,2025.12.1 8:10,2109,은천로입구 가로공원,0,2025.12.1 8:13,2136,신림역 8번출구,0,3,385.05,1995,M,내국인,ST-882,ST-976,일반자전거
SPB-46700,2025.12.1 8:11,2187,현대시장사거리,0,2025.12.1 8:15,2108,은천치안센터,0,3,652.01,1973,M,내국인,ST-2371,ST-714,일반자전거
SPB-83173,2025.12.1 8:06,2179,양녕로 입구,99,2025.12.1 8:15,2173,당곡사거리,99,9,2170.0,1974,\N,내국인,ST-1548,ST-1268,새싹자전거
SPB-31705,2025.12.1 8:14,2187,현대시장사거리,0,2025.12.1 8:17,2108,은천치안센터,0,2,720.96,1998,M,내국인,ST-2371,ST-714,일반자전거
SPB-61567,2025.12.1 8:13,2129,낙성대 과학전시관,0,2025.12.1 8:18,2148,낙성대역 3번출구 뒤,0,4,1053.88,\N,M,내국인,ST-721,ST-887,일반자전거
SPB-69429,2025.12.1 8:15,2109,은천로입구 가로공원,0,2025.12.1 8:19,2189,봉천역 4번출구,0,3,283.9,1992,M,내국인,ST-882,ST-2373,일반자전거
SPB-69731,2025.12.1 8:01,2115,관악구시설관리공단,0,2025.12.1 8:19,2136,신림역 8번출구,0,17,2511.23,1977,M,내국인,ST-883,ST-976,일반자전거
SPB-66535,2025.12.1 8:12,2187,현대시장사거리,0,2025.12.1 8:20,2173,당곡사거리,0,8,1691.92,\N,\N,\N,ST-2371,ST-1268,일반자전거
SPB-44974,2025.12.1 8:05,2187,현대시장사거리,0,2025.12.1 8:20,2129,낙성대 과학전시관,0,15,2423.65,1993,F,내국인,ST-2371,ST-721,일반자전거
SPB-55254,2025.12.1 8:15,2170,조원동 강남힐병원,0,2025.12.1 8:21,2110,조원동 미성아파트,0,6,901.48,1983,M,내국인,ST-1265,ST-950,일반자전거
SPB-67904,2025.12.1 8:15,2195,은천교회,0,2025.12.1 8:24,2187,현대시장사거리,0,9,1810.0,\N,\N,\N,ST-2379,ST-2371,일반자전거
SPB-71122,2025.12.1 8:22,2115,관악구시설관리공단,0,2025.12.1 8:25,2110,조원동 미성아파트,0,2,381.21,1998,F,내국인,ST-883,ST-950,일반자전거
SPB-64811,2025.12.1 8:17,2167,낙성대역 1번출구,0,2025.12.1 8:26,2104,사당역 5번출구,0,9,1453.5,1995,M,내국인,ST-1262,ST-712,일반자전거
SPB-38522,2025.12.1 8:23,2119,중앙동 동진빌딩,0,2025.12.1 8:27,2171,서울대입구역 5번출구,0,4,384.14,2000,F,내국인,ST-884,ST-1337,일반자전거
SPB-60985,2025.12.1 8:25,2195,은천교회,0,2025.12.1 8:28,2196,봉천역 3번출구,0,3,406.79,1999,F,내국인,ST-2379,ST-2380,일반자전거
SPB-37584,2025.12.1 8:24,2109,은천로입구 가로공원,0,2025.12.1 8:28,2189,봉천역 4번출구,0,4,668.96,2001,\N,내국인,ST-882,ST-2373,일반자전거
SPB-48166,2025.12.1 8:25,2187,현대시장사거리,0,2025.12.1 8:29,2189,봉천역 4번출구,0,4,990.0,1971,M,내국인,ST-2371,ST-2373,일반자전거
